date,Port,OperatorCountryofDomicileName,vessel_type,count
11/02/2023,BDJ,Indonesia,Cargo,4
14/07/2023,BPN,Indonesia,Passenger,13
01/03/2023,KDI,Indonesia,Cargo,1
22/02/2023,TEI,Indonesia,Cargo,1
25/11/2023,BPN,Indonesia,Tanker,9
25/03/2023,BPN,Indonesia,Sailing,2
01/09/2023,TPR,Singapore,Cargo,2
09/05/2023,LTU,Thailand,Cargo,3
04/03/2023,TPR,"China, People's Republic Of",Cargo,1
07/06/2023,LTU,"China, People's Republic Of",Cargo,2
07/12/2023,SRG,Chinese Taipei,Cargo,1
14/12/2023,BKS,Indonesia,Passenger,1
16/06/2023,SOQ,Indonesia,Tanker,1
14/10/2023,SOQ,Indonesia,Tanker,1
18/03/2023,TJB,Indonesia,Cargo,2
26/07/2023,ING,Indonesia,Cargo,2
09/10/2023,PNK,Indonesia,Tanker,4
13/09/2023,SUB,Indonesia,Passenger,1
06/07/2023,BIT,Indonesia,Cargo,2
06/10/2023,TJB,Indonesia,Pleasure Craft,1
18/03/2023,IBP,Singapore,Cargo,1
26/03/2023,GRE,Singapore,Cargo,1
21/07/2023,IBP,,Passenger,1
16/08/2023,PNJ,,Passenger,1
08/12/2023,SXK,Indonesia,Cargo,2
04/02/2023,SRG,Indonesia,Passenger,2
06/09/2023,TPR,Philippines,Cargo,1
27/08/2023,SRG,Chinese Taipei,Cargo,2
25/01/2023,DUM,Singapore,Tanker,1
01/03/2023,SRG,Switzerland,Cargo,1
20/04/2023,SRG,Switzerland,Cargo,1
09/11/2023,LUW,Indonesia,Passenger,1
11/12/2023,BMU,Indonesia,Passenger,1
30/03/2023,BPN,Indonesia,Pleasure Craft,1
20/11/2023,BDJ,Indonesia,Cargo,3
27/01/2023,TEI,Indonesia,Passenger,8
24/02/2023,TEI,Indonesia,Passenger,9
11/11/2023,LMR,Indonesia,Passenger,13
24/08/2023,SOQ,Indonesia,Passenger,4
08/11/2023,IBP,Indonesia,Cargo,4
24/09/2023,IBP,Indonesia,Passenger,83
10/02/2023,IBP,Colombia,Passenger,4
22/10/2023,KUM,Indonesia,Tanker,1
22/06/2023,GRE,Indonesia,Cargo,20
26/02/2023,MKW,Indonesia,Cargo,1
15/11/2023,ING,Indonesia,Tanker,4
25/03/2023,SOQ,Indonesia,Passenger,3
25/12/2023,GTO,Indonesia,Passenger,2
20/03/2023,IMW,Indonesia,Other,2
15/04/2023,TJB,Indonesia,Passenger,4
01/03/2023,IMW,Indonesia,Cargo,2
10/12/2023,IMW,Indonesia,Cargo,1
03/07/2023,GRE,Indonesia,Cargo,11
03/01/2023,BUR,Saudi Arabia,Passenger,6
19/08/2023,BUR,Saudi Arabia,Passenger,2
25/09/2023,BUR,Saudi Arabia,Passenger,3
23/11/2023,BUR,Saudi Arabia,Passenger,5
24/11/2023,GRE,Singapore,Tanker,2
03/08/2023,SRG,"China, People's Republic Of",Cargo,1
21/02/2023,TEI,Indonesia,Cargo,2
04/08/2023,MOF,Indonesia,Passenger,2
11/04/2023,MLD,Indonesia,Cargo,1
15/10/2023,PNK,Indonesia,Cargo,6
17/01/2023,WSR,Indonesia,Passenger,1
31/01/2023,WSR,Indonesia,Passenger,1
26/02/2023,BUR,Singapore,Cargo,4
04/06/2023,GRE,Philippines,Cargo,1
18/09/2023,IBP,Indonesia,Passenger,82
05/05/2023,SOQ,Indonesia,Tanker,4
10/09/2023,SOQ,Indonesia,Tanker,2
03/08/2023,MLD,Indonesia,Passenger,5
20/01/2023,PNJ,Indonesia,Tanker,2
17/04/2023,IBP,Indonesia,Tanker,8
02/01/2023,BPN,Indonesia,Passenger,14
19/02/2023,BPN,Indonesia,Passenger,15
10/11/2023,BPN,Indonesia,Other,5
21/10/2023,BDJ,Oman,Cargo,1
12/07/2023,BPN,"China, People's Republic Of",Cargo,2
08/03/2023,TPR,Denmark,Cargo,1
25/12/2023,IBP,Norway,Cargo,1
22/07/2023,TPR,"Korea, South",Cargo,1
23/01/2023,TPR,Switzerland,Cargo,3
20/11/2023,MLD,Indonesia,Passenger,1
04/07/2023,ARE,Indonesia,Passenger,1
18/07/2023,ARE,Indonesia,Passenger,1
23/04/2023,BLW,Indonesia,Other,1
08/01/2023,BDJ,Indonesia,Tanker,1
20/08/2023,TQP,Indonesia,Passenger,2
16/11/2023,GRE,Greece,Cargo,2
20/03/2023,SRG,Bermuda,Passenger,1
07/01/2023,IBP,Netherlands,Cargo,2
01/03/2023,PTM,Japan,Cargo,1
18/01/2023,BDJ,Bangladesh,Cargo,1
07/07/2023,SOQ,Indonesia,Passenger,2
12/09/2023,TAG,Indonesia,Tanker,2
30/09/2023,TBY,Indonesia,Tanker,3
17/02/2023,BIK,Indonesia,Passenger,2
08/10/2023,BIK,Indonesia,Passenger,3
21/02/2023,BPN,Indonesia,Cargo,2
10/11/2023,BOA,Indonesia,Tanker,1
15/03/2023,SMQ,Indonesia,Tanker,1
28/04/2023,SMQ,Indonesia,Tanker,1
05/05/2023,SMQ,Indonesia,Tanker,2
29/12/2023,IBP,Indonesia,Cargo,1
25/06/2023,CBN,Indonesia,Cargo,2
24/07/2023,BIT,Indonesia,Passenger,1
29/01/2023,BPN,India,Cargo,1
15/06/2023,GRE,Switzerland,Cargo,1
29/11/2023,GRE,France,Cargo,1
04/11/2023,TTK,Singapore,Cargo,1
28/05/2023,BPN,Singapore,Tanker,1
22/10/2023,TJB,Indonesia,Cargo,2
22/01/2023,IBP,Indonesia,Tanker,9
07/08/2023,BAD,Indonesia,Tanker,1
26/04/2023,LTU,Indonesia,Cargo,5
29/07/2023,DUM,Indonesia,Tanker,8
26/01/2023,SOQ,Indonesia,Passenger,3
21/06/2023,GRE,Singapore,Tanker,2
09/09/2023,CBN,Indonesia,Cargo,1
15/02/2023,GRE,Indonesia,Passenger,11
28/06/2023,TPR,Switzerland,Cargo,2
03/07/2023,KTJ,Egypt,Cargo,1
01/01/2023,DUM,Japan,Cargo,5
25/01/2023,GRE,"China, People's Republic Of",Cargo,2
05/07/2023,CBN,Indonesia,Cargo,1
25/02/2023,BUR,Malaysia,Other,1
22/05/2023,TEI,Indonesia,Cargo,2
02/07/2023,BLW,France,Cargo,1
01/08/2023,TPR,Vietnam,Tanker,1
20/08/2023,TPR,Denmark,Dredging,1
07/06/2023,BUR,Netherlands,Cargo,1
02/12/2023,DUM,"Korea, South",Tanker,1
21/02/2023,BKS,Indonesia,Passenger,1
04/09/2023,KDI,Indonesia,Cargo,1
12/07/2023,BUR,Indonesia,Other,1
06/11/2023,BUR,Indonesia,Other,3
12/09/2023,BUR,Singapore,Cargo,4
11/08/2023,TQP,Indonesia,Tanker,1
08/09/2023,TQP,Indonesia,Tanker,1
17/01/2023,ENE,Indonesia,Passenger,1
19/12/2023,SUB,Indonesia,Passenger,1
17/01/2023,TQP,Indonesia,Passenger,1
15/02/2023,TQP,Indonesia,Passenger,2
27/12/2023,TQP,Indonesia,Passenger,2
15/02/2023,KDI,Indonesia,Tanker,1
11/04/2023,KDI,Indonesia,Tanker,1
09/12/2023,BLW,Singapore,Other,1
08/04/2023,BDJ,Greece,Cargo,1
10/09/2023,TPR,"Korea, South",Cargo,2
11/09/2023,BDJ,"China, People's Republic Of",Cargo,1
19/12/2023,PNJ,"China, People's Republic Of",Cargo,2
23/01/2023,FKQ,Indonesia,Passenger,1
06/09/2023,TPR,Indonesia,Tanker,4
01/03/2023,BIT,Indonesia,Passenger,3
20/04/2023,BOA,Indonesia,Passenger,1
03/08/2023,GTO,Indonesia,Passenger,1
27/04/2023,IBP,Indonesia,Tanker,5
16/01/2023,SUR,Indonesia,Tanker,3
10/01/2023,TEI,Indonesia,Passenger,5
05/07/2023,TEI,Indonesia,Passenger,6
11/01/2023,SRG,Indonesia,Cargo,1
03/06/2023,BUR,Indonesia,Passenger,17
02/11/2023,BUR,Indonesia,Passenger,23
13/11/2023,BUR,Indonesia,Passenger,23
08/06/2023,LMR,Indonesia,Passenger,13
14/10/2023,LMR,Indonesia,Passenger,19
18/11/2023,LMR,Indonesia,Passenger,11
15/12/2023,IBP,Indonesia,Cargo,10
15/08/2023,MAK,Indonesia,Passenger,4
31/12/2023,KTJ,Indonesia,Cargo,1
06/11/2023,MAK,"China, People's Republic Of",Cargo,1
02/02/2023,TJB,Indonesia,Tanker,1
24/05/2023,FKQ,Indonesia,Passenger,1
07/11/2023,FKQ,Indonesia,Passenger,1
29/01/2023,IBP,Indonesia,Passenger,84
12/04/2023,IBP,Indonesia,Passenger,91
16/06/2023,PNK,Indonesia,Tanker,8
01/07/2023,IBP,Indonesia,Passenger,81
19/11/2023,IBP,Indonesia,Passenger,82
09/04/2023,BIT,Indonesia,Cargo,2
30/04/2023,KDI,Indonesia,Passenger,3
22/08/2023,BDJ,Indonesia,Tanker,7
05/06/2023,IBP,Indonesia,Tanker,7
30/04/2023,TJB,Indonesia,Passenger,6
14/06/2023,KDI,Indonesia,Tanker,1
18/06/2023,IMW,Indonesia,Cargo,1
04/05/2023,BUR,Saudi Arabia,Passenger,3
24/09/2023,BUR,Saudi Arabia,Passenger,3
23/12/2023,BUR,Saudi Arabia,Passenger,4
11/04/2023,TPR,Chinese Taipei,Cargo,1
04/01/2023,BLW,Chinese Taipei,Cargo,2
29/08/2023,TPR,"China, People's Republic Of",Cargo,1
01/02/2023,MOF,Indonesia,Passenger,1
09/12/2023,MAK,Indonesia,Passenger,2
31/07/2023,MAK,Indonesia,Cargo,7
13/11/2023,BPN,Indonesia,Tanker,8
02/06/2023,MKW,Indonesia,Passenger,5
06/08/2023,MKW,Indonesia,Passenger,2
06/05/2023,TPR,Indonesia,Cargo,14
13/05/2023,SUB,Indonesia,Cargo,5
10/01/2023,BLW,Singapore,Cargo,2
15/09/2023,BPN,Philippines,Cargo,2
