date,Port,OperatorCountryofDomicileName,vessel_type,count
25/09/2023,AMQ,Indonesia,Passenger,2
05/10/2023,NAM,Indonesia,Passenger,1
28/06/2023,BMU,Indonesia,Tanker,1
25/09/2023,IBP,Indonesia,Tanker,7
16/01/2023,BUR,Greece,Cargo,1
16/11/2023,GRE,Greece,Cargo,2
11/06/2023,GRE,"Korea, South",Cargo,1
12/08/2023,DUM,"Korea, South",Tanker,1
24/10/2023,TPR,"Hong Kong, China",Cargo,2
19/10/2023,BPN,Indonesia,Fishing,2
13/12/2023,DUM,Indonesia,Tanker,4
10/04/2023,BPN,Singapore,Other,1
22/01/2023,IBP,Indonesia,Tanker,9
26/02/2023,CXP,Indonesia,Tanker,1
30/11/2023,BDJ,Indonesia,Dredging,1
25/12/2023,GTO,Indonesia,Passenger,1
27/04/2023,DUM,Indonesia,Tanker,1
22/04/2023,BUR,Netherlands,Cargo,1
22/12/2023,GRE,Singapore,Tanker,1
12/05/2023,SRG,United Arab Emirates,Tanker,1
15/02/2023,GRE,Indonesia,Passenger,11
03/07/2023,GRE,Indonesia,Cargo,7
11/09/2023,SUB,Indonesia,Cargo,2
15/07/2023,BIT,Indonesia,Cargo,2
17/12/2023,BIT,Indonesia,Cargo,3
25/12/2023,PNJ,Indonesia,Tanker,1
15/11/2023,TJB,Indonesia,Passenger,3
17/04/2023,IBP,Indonesia,Tanker,8
10/02/2023,IBP,Colombia,Passenger,4
27/03/2023,MSK,Indonesia,Passenger,3
09/08/2023,MSK,Indonesia,Passenger,3
25/03/2023,SOQ,Indonesia,Passenger,3
20/03/2023,IMW,Indonesia,Other,2
15/04/2023,TJB,Indonesia,Passenger,4
01/03/2023,IMW,Indonesia,Cargo,2
10/12/2023,IMW,Indonesia,Cargo,1
03/01/2023,BUR,Saudi Arabia,Passenger,6
19/08/2023,BUR,Saudi Arabia,Passenger,2
25/09/2023,BUR,Saudi Arabia,Passenger,3
23/11/2023,BUR,Saudi Arabia,Passenger,5
29/10/2023,TPR,Vietnam,Cargo,1
25/12/2023,IBP,Norway,Cargo,1
22/07/2023,TPR,"Korea, South",Cargo,1
23/01/2023,TPR,Switzerland,Cargo,3
15/02/2023,TQP,Indonesia,Passenger,2
20/11/2023,MLD,Indonesia,Passenger,1
21/12/2023,AMQ,Indonesia,Passenger,1
19/06/2023,BLW,Indonesia,Passenger,1
04/12/2023,BLW,Indonesia,Passenger,1
13/07/2023,ING,Indonesia,Cargo,1
04/07/2023,ARE,Indonesia,Passenger,1
18/07/2023,ARE,Indonesia,Passenger,1
