,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
13741,623276214398058495,525023055,8623858,30.0,6.0,Passenger,Passenger Ship,2023-01-08 06:23:29,Indonesia,T-AIS,TMFT,3.316666666666667,1.4666666666666666,1673159009,1673162122,1673164307,0.0019235384052053877,0.0010226408116400343,1.13499667,104.05519333,1.13388778,104.05450888666667,1.13166667,104.05333333,Under Way Using Engine,3,2,2,3,valid,"LINESTRING (104.05519333 1.13499667, 104.05450888666667 1.13388778,104.05333333 1.13166667)",POINT (104.05450888666667 1.13388778),8623858,SEA RAIDER II,,Indonesia,Indonesia,I,142,0,Passenger Ship,imo match,1,21,BUR
3443,623512175427026943,525301789,9905203,46.0,11.0,Passenger,,2023-01-08 06:23:34,Indonesia,S-AIS,TUAL,26.05,25.95,1673159014,1673214956,1673252453,0.001583458051932501,0.00044462258651763284,-5.63333333,132.74,-5.632474666,132.74032,-5.630085,132.74069333,Under Way Using Engine,5,2,2,5,valid,"LINESTRING (132.74 -5.63333333, 132.74032 -5.632474666,132.74069333 -5.630085)",POINT (132.74032 -5.632474666),9905203,SABUK NUSANTARA 54,525301789.0,Indonesia,Indonesia,I,777,500,General Cargo/Passenger Ship,imo match,2,81,TUA
11192,623529803968905215,525201927,9926879,60.0,14.0,Passenger,,2023-01-08 06:53:00,Indonesia,S-AIS,ID-SOFIFI,1.1666666666666667,1.05,1673160780,1673163085,1673164559,0.000966911656828761,0.0012988151074808617,0.75833333,127.37833333,0.7599890275,127.37909236083334,0.76166667,127.37666667,Under Way Using Engine,12,2,2,12,valid,"LINESTRING (127.37833333 0.75833333, 127.37909236083334 0.7599890275,127.37666667 0.76166667)",POINT (127.37909236083334 0.7599890275),9926879,GARDA MARITIM 7,525201927.0,Indonesia,Indonesia,I,600,0,Passenger/Ro-Ro Ship (Vehicles),imo match,1,82,TEI
18135,623530523314814975,525200072,9854959,53.0,12.0,Passenger,,2023-01-08 06:53:47,Indonesia,T-AIS,SORONG,65.26666666666667,6.466666666666667,1673160827,1673176351,1673184149,0.0003829735485644037,0.0015756120174852998,-0.87836167,131.2456,-0.87868,131.24407555333332,-0.879105,131.24245333,Under Way Using Engine,3,2,2,3,valid,"LINESTRING (131.2456 -0.87836167, 131.24407555333332 -0.87868,131.24245333 -0.879105)",POINT (131.24407555333332 -0.87868),9854959,SABUK NUSANTARA 112,525200072.0,Indonesia,Indonesia,I,1145,799,General Cargo/Passenger Ship,imo match,1,92,SOQ
19264,623960961431535615,525010222,9454060,120.0,18.0,Passenger,Passenger Ship,2023-01-08 06:59:08,Indonesia,S-AIS,MERAK-BAKAUHENI,0.5,0.2,1673161148,1673161565,1673161864,0.0009622523731500704,0.0009622523731454553,-5.92166667,105.96666667,-5.921111113333333,105.96555555666667,-5.92,105.965,Underway Sailing,3,2,2,3,valid,"LINESTRING (105.96666667 -5.92166667, 105.96555555666667 -5.921111113333333,105.965 -5.92)",POINT (105.96555555666667 -5.921111113333333),9454060,SALVATORE I,730000608.0,Colombia,Colombia,I,405,174,Tug,imo match,1,36,IBP
20470,623960961470660607,525002069,7224837,124.0,12.0,Passenger,Passenger Ship,2023-01-08 07:44:56,Indonesia,T-AIS,MERAK,1.35,0.0,1673163896,1673163896,1673163896,0.0,0.0,-5.92284667,105.99002833,-5.92284667,105.99002833,-5.92284667,105.99002833,Under Way Using Engine,1,2,2,1,invalid,POINT (105.99002833 -5.92284667),POINT (105.99002833 -5.92284667),7224837,ROYAL NUSANTARA,525002069.0,Indonesia,Indonesia,I,6034,3000,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
24678,623335841564622847,525019301,8874744,105.0,17.0,Passenger,,2023-01-08 08:17:43,Indonesia,T-AIS,KARIANGAU-PENAJAM PP,1.1666666666666667,0.3333333333333333,1673165863,1673166468,1673167074,0.00018855709427110796,0.0014413169652994133,-1.20115833,116.81500167,-1.201025,116.816020835,-1.20089167,116.81704,Underway Sailing,2,2,2,2,valid,"LINESTRING (116.81500167 -1.20115833, 116.816020835 -1.201025,116.81704 -1.20089167)",POINT (116.816020835 -1.201025),8874744,GOROPA,525019301.0,Indonesia,Indonesia,I,547,0,Passenger Ship,imo match,1,64,BPN
23444,623960961439072255,525001136,9759733,260.0,20.0,Passenger,General Cargo Ship,2023-01-08 08:57:09,Indonesia,S-AIS,BAKAUHENI,1.3,0.05,1673168229,1673168320,1673168412,0.00219556655558464,0.0007188942512278655,-5.93666667,105.99666667,-5.93511417,105.99615833499999,-5.93356167,105.99565,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (105.99666667 -5.93666667, 105.99615833499999 -5.93511417,105.99565 -5.93356167)",POINT (105.99615833499999 -5.93511417),9759733,BATU MANDI,525001136.0,Indonesia,Indonesia,I,5553,2426,General Cargo/Passenger Ship,imo match,1,36,IBP
5844,624129377550041087,525300934,9881811,76.0,15.0,Passenger,,2023-01-08 08:59:29,Indonesia,S-AIS,KETAPANG-LEMBAR,1.2666666666666666,1.2,1673168369,1673170527,1673172686,0.0,0.0,-8.73,116.07666667,-8.73,116.07666667,-8.73,116.07666667,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (116.07666667 -8.73, 116.07666667 -8.73,116.07666667 -8.73)",POINT (116.07666667 -8.73),9881811,PARAMA KALYANI,525300934.0,Indonesia,Indonesia,I,1751,686,Passenger/Ro-Ro Ship (Vehicles),imo match,2,52,LMR
296,623960961458700287,525200924,9836012,106.0,21.0,Passenger,,2023-01-08 09:24:15,Indonesia,S-AIS,MERAK,8.166666666666666,7.716666666666667,1673169855,1673184581,1673197635,0.0010270259841111734,0.0004334679306866832,-5.95,105.96166667,-5.947609106454545,105.96330405763639,-5.94666667,105.96333333,At Anchor,110,2,2,110,valid,"LINESTRING (105.96166667 -5.95, 105.96330405763639 -5.947609106454545,105.96333333 -5.94666667)",POINT (105.96330405763639 -5.947609106454545),9836012,NEOMI,525200924.0,Indonesia,Indonesia,I,8274,2506,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
