,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
46098,PEARL KATE,563167400,1.276879047142857,103.9568515492857,Singapore,Tanker,Moored,2023-04-01 11:08:57,4,4,9935686,Singapore,Singapore
46099,W-STAR,636014569,-3.7284790521311466,114.46673042202187,Liberia,Cargo,At Anchor,2023-04-01 11:13:09,15,15,9476678,Liberia,Liberia
46100,OKEE ULF,636093141,1.2537966668817204,103.91858883537634,Liberia,Tanker,At Anchor,2023-04-01 11:13:38,19,18,9311048,Germany,Germany
46101,RSA MARINE 3,525100167,-7.70661365423077,109.06696781961537,Indonesia,Dredging,At Anchor,2023-04-01 11:19:47,6,6,8693449,Indonesia,Indonesia
46102,PAC ALCAMAR,477706700,-3.738182438971194,114.49792180901233,Hong Kong,Cargo,At Anchor,2023-04-01 11:20:11,15,15,9913652,"Hong Kong, China","Hong Kong, China"
46103,CIMARRON,613114203,1.1779185720634922,103.93865089888891,Cameroon,Tanker,At Anchor,2023-04-01 11:34:59,15,14,9255933,Marshall Islands,Marshall Islands
46104,SAFETY OCEAN,356553000,-5.919038822126929,105.99608730699828,Panama,Cargo,Moored,2023-04-01 11:46:54,114,113,9317274,"Hong Kong, China","Hong Kong, China"
46105,BERG,525119107,-6.89850925484054,110.39429284995748,Indonesia,Tanker,At Anchor,2023-04-01 11:48:43,86,86,9374325,Indonesia,Indonesia
46106,GAS ARJUNA,525008075,-1.2666872597945205,116.81054678136987,Indonesia,Other,Moored,2023-04-01 11:52:11,29,29,9629421,Indonesia,Indonesia
46107,LUZON,525015943,-1.185558180909091,136.07516333272727,Indonesia,Cargo,Moored,2023-04-01 11:52:39,61,21,9126962,Indonesia,Indonesia
46108,ELDORA,352920000,-3.7473333335000008,114.42333332999999,Panama,Cargo,At Anchor,2023-04-01 11:53:10,2,1,9584619,Liberia,Liberia
46109,SWIFT SUZHOU,636020149,-3.7305696213924047,114.43192686586494,Liberia,Cargo,At Anchor,2023-04-01 11:54:41,16,16,9623556,"China, People's Republic Of","China, People's Republic Of"
46110,SEA CALM,636020446,1.267413860131579,103.94745605223683,Liberia,Tanker,At Anchor,2023-04-01 11:56:07,15,14,9629378,Liberia,Liberia
46111,TANTO TANGGUH,525013022,-6.032367041055045,106.87496977830274,Indonesia,Cargo,At Anchor,2023-04-01 11:57:59,44,43,9169665,Indonesia,Indonesia
46112,DELPHINE,566601000,1.294032177923077,104.08697279646154,Singapore,Tanker,Moored,2023-04-01 12:01:27,14,13,9654907,Singapore,Singapore
