,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
14393,623276406722035711,525201708,9921051,93.0,18.0,Passenger,,2023-08-11 23:33:00,Indonesia,S-AIS,SIBOLGA,23.916666666666668,15.466666666666667,1691796780,1691824985,1691852458,4.45905533217134e-16,0.0,1.72666667,98.785,1.7266666699999995,98.785,1.72666667,98.785,At Anchor,123,2,2,123,valid,"LINESTRING (98.785 1.72666667, 98.785 1.7266666699999995,98.785 1.72666667)",POINT (98.785 1.7266666699999995),9921051,WIRA NAULI,525201708.0,Indonesia,Indonesia,I,2923,2567,Passenger/Ro-Ro Ship (Vehicles),imo match,2,12,SLG
13172,623986077538156543,525015376,8017671,105.0,16.0,Passenger,Ro Ro Cargo Ship,2023-08-11 23:57:21,Indonesia,S-AIS,KUMAI,22.166666666666668,21.916666666666668,1691798241,1691835617,1691877194,0.0005455634551946978,0.0005377360230607239,-7.18666667,112.72833333,-7.18655376275641,112.72838365195511,-7.18666667,112.73,At Anchor,309,2,2,312,valid,"LINESTRING (112.72833333 -7.18666667, 112.72838365195511 -7.18655376275641,112.73 -7.18666667)",POINT (112.72838365195511 -7.18655376275641),8017671,KIRANA,525015376.0,Indonesia,Indonesia,I,5299,3161,Passenger/Ro-Ro Ship (Vehicles),imo match,1,35,SUB
3922,624129268394196991,525005141,8824189,0.0,0.0,Passenger,Passenger Ship,2023-08-12 00:10:58,Indonesia,T-AIS,PADANG BAI,23.25,0.0,1691799058,1691799058,1691799058,0.0,0.0,-8.7472,116.05679833,-8.7472,116.05679833,-8.7472,116.05679833,Under Way Using Engine,1,2,2,1,invalid,POINT (116.05679833 -8.7472),POINT (116.05679833 -8.7472),8824189,NUSA BHAKTI,525005141.0,Indonesia,Indonesia,F,673,168,Passenger/Ro-Ro Ship (Vehicles),imo match,2,52,LMR
10618,623960961413677055,525002084,7125952,102.0,20.0,Passenger,Passenger Ship,2023-08-12 00:17:59,Indonesia,T-AIS,MERAK,0.5,0.16666666666666666,1691799479,1691799784,1691800089,0.0023617366491634683,0.0010429825022496108,-5.91137,105.98478833,-5.9130400000000005,105.98552583,-5.91471,105.98626333,Underway Sailing,2,2,2,2,valid,"LINESTRING (105.98478833 -5.91137, 105.98552583 -5.9130400000000005,105.98626333 -5.91471)",POINT (105.98552583 -5.9130400000000005),7125952,TITIAN NUSANTARA,525002084.0,Indonesia,Indonesia,I,5532,871,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
19082,623529803969658879,525201927,9926879,60.0,14.0,Passenger,,2023-08-12 00:21:43,Indonesia,S-AIS,ID-BASTIONG-TERNATE,7.3,7.15,1691799703,1691815942,1691825440,0.0017984385524289748,0.0006083232748941663,0.76166667,127.375,0.7609361114285713,127.3754032542857,0.75833333,127.37666667,At Anchor,21,2,2,21,valid,"LINESTRING (127.375 0.76166667, 127.3754032542857 0.7609361114285713,127.37666667 0.75833333)",POINT (127.3754032542857 0.7609361114285713),9926879,GARDA MARITIM 7,525201927.0,Indonesia,Indonesia,I,600,0,Passenger/Ro-Ro Ship (Vehicles),imo match,1,82,TEI
26757,624129377550041087,525300934,9881811,76.0,15.0,Passenger,,2023-08-12 00:26:55,Indonesia,S-AIS,KETAPANG-LEMBAR,1.6,0.05,1691800015,1691800103,1691800192,0.0011785136589993065,0.001178513658994282,-8.73,116.07666667,-8.730833335,116.075833335,-8.73166667,116.075,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (116.07666667 -8.73, 116.075833335 -8.730833335,116.075 -8.73166667)",POINT (116.075833335 -8.730833335),9881811,PARAMA KALYANI,525300934.0,Indonesia,Indonesia,I,1751,686,Passenger/Ro-Ro Ship (Vehicles),imo match,2,52,LMR
20634,624254507000889343,525001104,8689034,0.0,0.0,Passenger,,2023-08-12 00:27:59,Indonesia,S-AIS,MERAUKE,64.35,46.31666666666667,1691800079,1691926261,1691966828,0.0007484370262288611,0.0006947293337861021,-8.47854167,140.38856167,-8.477687333999999,140.388088334,-8.47682667,140.387165,Under Way Using Engine,5,2,2,5,valid,"LINESTRING (140.38856167 -8.47854167, 140.388088334 -8.477687333999999,140.387165 -8.47682667)",POINT (140.388088334 -8.477687333999999),8689034,SABUK NUSANTARA 47,525001104.0,Indonesia,Indonesia,I,496,0,Passenger/Ro-Ro Ship (Vehicles),imo match,1,91,MKQ
22746,624118369310244863,525018438,8508694,103.0,15.0,Passenger,General Cargo Ship,2023-08-12 00:30:34,Indonesia,S-AIS,PAREPARE,16.3,0.05,1691800234,1691800324,1691800414,0.0,0.0011785065879309094,-4.02166667,119.61333333,-4.02166667,119.61250000000001,-4.02166667,119.61166667,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (119.61333333 -4.02166667, 119.61250000000001 -4.02166667,119.61166667 -4.02166667)",POINT (119.61250000000001 -4.02166667),8508694,ADITHYA,525018438.0,Indonesia,Indonesia,F,3778,1293,General Cargo/Passenger Ship,imo match,2,73,ARE
10745,623986077539008511,525101123,9848065,68.0,14.0,Passenger,,2023-08-12 00:31:19,Indonesia,T-AIS,SURABAYA,6.966666666666667,5.266666666666667,1691800279,1691809853,1691819263,1.2441521205122303e-05,1.4642884043653701e-05,-7.19892333,112.73144833,-7.198942707812501,112.7314403128125,-7.19894333,112.73146333,Moored,32,2,2,32,valid,"LINESTRING (112.73144833 -7.19892333, 112.7314403128125 -7.198942707812501,112.73146333 -7.19894333)",POINT (112.7314403128125 -7.198942707812501),9848065,SABUK NUSANTARA 91,525101123.0,Indonesia,Indonesia,I,2086,722,General Cargo/Passenger Ship,imo match,1,35,SUB
1834,623960961476558847,525100375,9819478,102.0,18.0,Passenger,Passenger Ship,2023-08-12 00:32:31,Indonesia,T-AIS,MERAK-BAKAU PP,1.1666666666666667,0.0,1691800351,1691800351,1691800351,0.0,0.0,-5.93434167,105.99693167,-5.93434167,105.99693167,-5.93434167,105.99693167,Under Way Using Engine,1,2,2,1,invalid,POINT (105.99693167 -5.93434167),POINT (105.99693167 -5.93434167),9819478,WIRA KENCANA,525100375.0,Indonesia,Indonesia,I,5648,7000,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
