date,Port,OperatorCountryofDomicileName,vessel_type,count
2023-09-27,SOQ,Indonesia,Passenger,3
2023-05-28,MLD,Indonesia,Cargo,1
2023-07-03,CBN,Singapore,Tanker,1
2023-03-04,BUR,Singapore,Cargo,4
2023-05-19,GRE,Philippines,Cargo,1
2023-09-24,BUR,Turkey,Cargo,1
2023-03-21,IBP,Japan,Cargo,1
2023-02-07,IPI,Indonesia,Tanker,1
2023-06-14,GNS,Indonesia,Passenger,1
2023-04-05,CBN,Indonesia,Cargo,1
2023-11-14,LSW,Singapore,Other,1
2023-09-09,DUM,Singapore,Tanker,2
2023-09-10,GTO,Indonesia,Passenger,1
2023-10-12,DUM,Chinese Taipei,Tanker,1
2023-04-23,SUB,Indonesia,Cargo,1
2023-06-11,GRE,"Hong Kong, China",Cargo,1
2023-09-07,BPN,"China, People's Republic Of",Tanker,1
2023-01-23,BPN,Greece,Cargo,1
2023-02-01,LMR,Indonesia,Passenger,7
2023-10-16,PNJ,Switzerland,Cargo,1
2023-06-20,GRE,Singapore,Tanker,2
2023-09-09,BPN,Japan,Cargo,1
2023-03-07,TBY,Bangladesh,Cargo,1
2023-10-31,IBP,Indonesia,Passenger,71
2023-01-01,NAM,Indonesia,Passenger,1
2023-01-02,NDA,Indonesia,Passenger,1
2023-02-13,AMQ,Indonesia,Passenger,2
2023-08-14,AMQ,Indonesia,Passenger,3
2023-09-26,KDI,Indonesia,Passenger,2
2023-03-14,IBP,Indonesia,Tanker,5
2023-04-27,MAK,Indonesia,Other,1
2023-01-16,IBP,Indonesia,Tanker,7
2023-05-14,BDJ,Indonesia,Cargo,6
2023-11-25,BPN,Indonesia,Tanker,9
2023-06-10,GRE,Indonesia,Cargo,12
2023-03-05,BUR,Indonesia,Tanker,1
2023-01-06,BDJ,Indonesia,Cargo,8
2023-02-24,IMW,Indonesia,Cargo,1
2023-09-01,TPR,Singapore,Cargo,2
2023-08-18,TPR,Denmark,Cargo,1
2023-09-07,BPN,Japan,Tanker,1
2023-06-01,BPN,Indonesia,Passenger,33
2023-12-09,GRE,Indonesia,Passenger,6
2023-12-21,LMR,Indonesia,Passenger,11
2023-07-14,BPN,Indonesia,Passenger,32
2023-01-10,BUR,Indonesia,Cargo,1
2023-04-20,TBY,Indonesia,Cargo,1
2023-04-06,GRE,Indonesia,Cargo,12
2023-03-01,KDI,Indonesia,Cargo,1
2023-03-25,BPN,Indonesia,Sailing,2
2023-12-21,DUM,Indonesia,Tanker,4
2023-01-14,BUR,Singapore,Passenger,9
2023-11-08,TPR,Italy,Cargo,1
2023-12-03,BUR,Germany,Cargo,1
2023-03-20,TPR,Indonesia,Other,4
2023-05-30,TPR,Indonesia,Other,6
2023-07-11,PNK,Indonesia,Passenger,1
2023-07-30,PNK,Indonesia,Passenger,1
2023-03-21,MAK,Indonesia,Tanker,5
2023-03-02,IBP,Indonesia,Cargo,2
2023-01-08,LTU,Indonesia,Cargo,1
2023-03-11,LMR,Indonesia,Passenger,15
2023-03-06,GRE,Indonesia,Sailing,1
2023-01-30,SOQ,Indonesia,Cargo,1
2023-12-05,SUB,Indonesia,Tanker,2
2023-08-06,IBP,Indonesia,Tanker,5
2023-07-17,TPR,Indonesia,Cargo,7
2023-07-12,TPR,Switzerland,Cargo,2
2023-10-23,PTM,Indonesia,Pleasure Craft,3
2023-10-19,GRE,Indonesia,Cargo,7
2023-11-03,ARE,Indonesia,Passenger,3
2023-03-02,GRE,Indonesia,Tanker,4
2023-12-15,BIT,Indonesia,Cargo,3
2023-11-07,BUR,Indonesia,Passenger,5
2023-09-20,BPN,Indonesia,Tanker,8
2023-04-26,GRE,Vietnam,Cargo,1
2023-05-15,TBY,Japan,Cargo,1
2023-06-02,TBY,Japan,Cargo,1
2023-03-28,TPR,Vietnam,Cargo,1
2023-02-16,TPR,Fiji,Cargo,1
2023-02-20,SUB,Indonesia,Passenger,3
2023-10-05,GRE,Indonesia,Tanker,8
2023-09-30,WNQ,Indonesia,Cargo,3
2023-03-06,KTJ,Indonesia,Cargo,1
2023-06-08,TPR,Indonesia,Passenger,6
2023-10-11,TPR,Indonesia,Passenger,2
2023-10-28,TPR,Indonesia,Passenger,6
2023-09-07,DUM,Indonesia,Tanker,4
2023-10-12,PNK,Indonesia,Cargo,1
2023-06-05,TQP,Indonesia,Passenger,1
2023-04-24,BIT,Indonesia,Cargo,2
2023-07-06,BIT,Indonesia,Cargo,2
2023-02-27,MAK,Indonesia,Passenger,4
2023-02-06,SUB,Indonesia,Passenger,2
2023-03-24,SUB,Indonesia,Passenger,2
2023-09-30,SUB,Indonesia,Passenger,1
2023-03-26,BUR,Indonesia,Passenger,7
2023-09-28,SRG,"China, People's Republic Of",Cargo,1
2023-12-17,MLD,Singapore,Cargo,2
2023-07-05,BLW,Indonesia,Cargo,3
2023-05-30,WSR,Indonesia,Passenger,1
2023-09-13,SUB,Indonesia,Passenger,1
2023-06-28,TLI,Indonesia,Passenger,1
2023-10-11,BUR,Indonesia,Passenger,4
2023-09-13,GRE,Switzerland,Cargo,1
2023-12-24,ENE,Indonesia,Cargo,1
2023-04-16,KUM,Indonesia,Passenger,1
2023-06-16,SIO,Indonesia,Passenger,1
2023-03-14,IMW,Indonesia,Pleasure Craft,1
2023-10-20,DJJ,Indonesia,Tanker,1
2023-04-12,TPR,United Arab Emirates,Tanker,1
2023-09-01,AMQ,Indonesia,Cargo,1
2023-09-16,BDJ,Indonesia,Cargo,7
2023-03-09,BUR,Indonesia,Tanker,3
2023-07-14,BUR,Norway,Passenger,1
2023-08-13,BUR,Norway,Passenger,1
2023-10-08,BUR,Norway,Passenger,1
2023-11-28,BUR,Norway,Passenger,1
2023-02-04,SRG,Indonesia,Passenger,1
2023-12-13,SRG,Indonesia,Passenger,3
2023-01-22,GRE,"Korea, South",Tanker,1
2023-04-28,BPN,Indonesia,Other,3
2023-03-21,MLD,"Korea, South",Cargo,1
2023-08-28,PNK,Vietnam,Cargo,1
2023-09-30,BOA,Japan,Fishing,2
2023-09-28,NGG,Indonesia,Cargo,2
2023-03-12,MAK,Indonesia,Passenger,1
2023-04-16,TUA,Indonesia,Tanker,1
2023-01-09,PNJ,Indonesia,Passenger,2
2023-02-07,PNJ,Indonesia,Passenger,1
2023-06-04,DUM,Indonesia,Passenger,1
2023-02-05,TPR,Japan,Cargo,1
2023-03-29,IBP,Vietnam,Cargo,2
2023-12-07,TPR,Netherlands,Dredging,2
2023-03-03,IBP,Marshall Islands,Cargo,1
2023-10-17,TGP,Indonesia,Passenger,1
2023-02-02,MAK,Indonesia,Passenger,2
2023-04-05,BPN,Singapore,Tanker,1
2023-12-13,SUB,Indonesia,Tanker,1
2023-02-11,BDJ,Indonesia,Passenger,2
2023-07-06,IMW,Indonesia,Cargo,1
2023-10-11,TGP,Indonesia,Sailing,1
2023-10-31,TGP,Indonesia,Sailing,1
2023-10-16,DUM,Japan,Cargo,1
2023-10-08,IBP,Singapore,Tanker,1
2023-08-10,TPR,Chinese Taipei,Cargo,2
2023-03-10,SRG,Chinese Taipei,Cargo,1
2023-05-20,BMU,Indonesia,Passenger,1
2023-06-19,KDI,Indonesia,Passenger,3
2023-10-07,MAK,Indonesia,Passenger,4
2023-07-29,BBM,Indonesia,Tanker,1
2023-03-06,IBP,Greece,Cargo,1
2023-04-13,PNJ,Japan,Cargo,1
2023-09-12,PNJ,Norway,Tanker,1
2023-07-03,BUR,"China, People's Republic Of",Cargo,1
2023-07-07,BPN,Indonesia,Cargo,3
2023-10-31,BUR,Singapore,Cargo,3
2023-12-07,SRG,Chinese Taipei,Cargo,2
2023-09-22,TPR,"China, People's Republic Of",Cargo,1
2023-10-09,BLW,Indonesia,Passenger,1
2023-07-21,BIT,Indonesia,Passenger,1
2023-10-22,BUR,Indonesia,Tanker,1
2023-03-22,IMW,Indonesia,Passenger,2
2023-05-28,GNS,Indonesia,Passenger,1
2023-03-07,TPR,"Korea, South",Cargo,1
2023-08-27,TPR,Indonesia,Passenger,2
2023-08-13,GRE,Indonesia,Passenger,9
2023-05-16,BPN,Indonesia,Cargo,1
2023-10-21,REO,Indonesia,Tanker,1
2023-01-25,GRE,"China, People's Republic Of",Cargo,4
2023-09-25,AMQ,Indonesia,Passenger,2
2023-09-24,IBP,Indonesia,Passenger,84
2023-02-10,IBP,Colombia,Passenger,4
2023-07-05,CBN,Indonesia,Cargo,1
2023-06-22,GRE,Indonesia,Cargo,17
2023-02-26,MKW,Indonesia,Cargo,1
2023-10-03,LUW,Indonesia,Tanker,2
2023-12-25,GTO,Indonesia,Passenger,2
2023-03-20,IMW,Indonesia,Other,3
2023-03-01,IMW,Indonesia,Cargo,1
2023-12-10,IMW,Indonesia,Cargo,1
2023-07-03,GRE,Indonesia,Cargo,7
2023-12-11,MLD,Panama,Cargo,3
2023-04-02,BPN,Japan,Tanker,1
2023-09-18,IBP,Indonesia,Passenger,82
2023-11-17,DJJ,Indonesia,Passenger,1
2023-11-11,LMR,Indonesia,Passenger,12
2023-10-15,PNK,Indonesia,Cargo,2
2023-01-08,SRG,Indonesia,Cargo,2
2023-02-21,BPN,Indonesia,Cargo,2
2023-01-12,SRG,Indonesia,Tanker,1
